,,,,,,,,,,,,,label
3170000000,2021-06-18 04:15:51+00:00, ,1.41E+18,en,0,0,0,99, ,RT @straits_times: Woman who made $T$ remarks on MRT train charged in court,racist,Xenophobia and racism,-1
1.37E+18,2021-12-04 17:48:01+00:00, ,1.47E+18,en,1,0,2,0, ,@coupledaytravel I guess for now it????s non stop or 1 stop. It????s a hard $T$ on multiple layovers. I????ve done an 11 hour from Amsterdam to San Francisco with a 5 hr layover for a 17hr San Francisco to Singapore and connection to Bali 2 hrs. That was a body shocker for sure!,S pass,Foreign talents,-1
227000000,2012-06-04 04:52:58+00:00, ,2.10E+17,en,0,0,0,0, ,"My sec sch guys, im nt jk RT @STcom: Junyuan Secondary School teacher who caned $T$ gets 2 years' probation http://t.co/nYCkiUz",maid,Foreign domestic workers,-1
95842256,2019-07-28 18:21:15+00:00, ,1.16E+18,en,0,0,0,783, ,RT @NazyahKhan: wait why am i seeing chinese people trying to justify that there is ????only a little $T$ left???? in singapore on this app. T,racism,Xenophobia and racism,-1
26956474,2015-05-15 10:12:17+00:00, ,5.99E+17,en,0,0,0,0, ,Singapore Class 3 Driver for S$T$  Chakara Immigration Consultancy 3-5 years http://t.co/af3ZrCxU78,S pass,Foreign talents,0
109000000,2012-02-10 11:10:40+00:00, ,1.68E+17,en,0,0,0,0, ,200 $T$s finally get paid after protest: SINGAPORE: The Manpower Ministry said the 200.. http://t.co/d2F6KPYv,foreign worker,Migrant workers,1
425000000,2020-03-20 20:13:37+00:00, ,1.24E+18,en,0,0,0,0, ,@CNN @BobRae48 I????m of two minds about this. All influenza virus strains are characterized by place where first cases were seen eg A/Brisbane/H1N1/2018 or A/Singapore/H3N2/2016 . No one has ever fussed. Scientifically new Coronavirus will be characterized as from Wuhan without any $T$ meant.,racism,Xenophobia and racism,1
1530000000,2018-07-26 03:46:45+00:00, ,1.02E+18,en,0,0,0,15, ,RT @DLSLOfficial: The SHS. is beaming with pride for its ABM $T$ - China Zia Maranan and Janna Kaye Cuenca - for winning first pl,international students,Foreign talents,1
188000000,2013-05-15 17:30:24+00:00, ,3.35E+17,en,0,0,0,0, ,"Singapore cancels visit of two M__ians, to revoke work $T$ of another http://t.co/d29cHI7NXh",work pass,Migrant workers,1
37890902,2017-05-25 10:15:37+00:00, ,8.68E+17,en,0,0,0,0, ,Help $T$ find wallet with his inside: He lost it at Outram Park MRT Station https://t.co/uV0bmCkKmH https://t.co/EMgzLFNuIm,work permit,Migrant workers,0
9.25E+17,2021-09-19 17:32:33+00:00, ,1.44E+18,en,0,0,0,0, ,Securing a Singapore $T$ https://t.co/Q0qVqYJ4RM https://t.co/iL97r8zO8m,employment pass,Foreign talents,0
341000000,2011-07-27 10:45:18+00:00, ,9.62E+16,en,0,0,0,0, ,"NewsInSG: More than 100 $T$ holders squeeze at Hong Lim POSB, but only 3 counters open: 
STOM... http://bit.ly/nxVfix #Singapore",work permit,Migrant workers,0
849000000,2014-07-11 11:54:09+00:00, ,4.88E+17,en,0,0,0,1229, ,RT @BawangPurple: $T$ is alive in Singapore. Shame on this pathetic Isetan manager at Wisma Atria. http://t.co/8sbo5fbhaN http://t.co/VR,racism,Xenophobia and racism,1
835000000,2020-05-22 02:22:05+00:00, ,1.26E+18,en,0,0,0,0, ,"Oof scathing $T$ article. Great Read. You go get 'em Ivan 
How the New York Times???? put a $T$in on Singapore????s COVID-19 efforts. by Ivan Hong https://t.co/WvzUhiU2bt",racist,Xenophobia and racism,-1
563000000,2016-08-21 12:35:33+00:00, ,7.67E+17,en,0,0,0,4336, ,"RT @SoSingaporean: $T$ or not, these are outright display of chinese privilege that exists in Singapore and it has to stop https://t.co/",racist,Xenophobia and racism,-1
